subject_code,section,rendered_section,result,selected_count,last_updated
Che,Chemistry,CHEMISTRY,133 selected candidates,133,2026-09-22
Eps,Earth and Planetary Sciences,EARTH AND PLANETARY SCI.,42 selected candidates,42,2026-09-22
Eng,Engineering including Computer Sciences,ENGINEERING,285 selected candidates,285,2026-09-22
Lif,Life Sciences,LIFE SCIENCES,283 selected candidates,283,2026-09-22
Mat,Mathematics,MATHEMATICS,55 selected candidates,55,2026-09-22
Phy,Physics,PHYSICS,119 selected candidates,119,2026-09-22
